#DATE/TIME    = YYYYMMDD HHMMSS  
#PRCP         = Total Precipitation for this 24-hr period (mm)  
# Missing data     = -999  
#  
  
DATE HHMMSS PRCP
19800101 000000 0
19800102 000000 0.200000003
19800103 000000 0
19800104 000000 0.600000024
19800105 000000 1.200000048
19800106 000000 1.5
19800107 000000 5.099999905
19800108 000000 2.5
19800109 000000 5.699999809
19800110 000000 4.300000191
19800111 000000 3.200000048
19800112 000000 10.58325407
19800113 000000 0
19800114 000000 18.70000076
19800115 000000 0.899999976
19800116 000000 0
19800117 000000 0.200000003
19800118 000000 3.099999905
19800119 000000 0.100000001
19800120 000000 3.400000095
19800121 000000 0
19800122 000000 0
19800123 000000 0
19800124 000000 2.400000095
19800125 000000 0
19800126 000000 0
19800127 000000 16.39999962
19800128 000000 1.600000024
19800129 000000 0
19800130 000000 0.5
19800131 000000 0.699999988
19800201 000000 0.5
19800202 000000 0
19800203 000000 0.400000006
19800204 000000 0.300000012
19800205 000000 0
19800206 000000 0
19800207 000000 0
19800208 000000 0
19800209 000000 0
19800210 000000 0.699999988
19800211 000000 0
19800212 000000 0
19800213 000000 21.60000038
19800214 000000 1
19800215 000000 19.60000038
19800216 000000 2.099999905
19800217 000000 1
19800218 000000 20.10000038
19800219 000000 0
19800220 000000 0
19800221 000000 3.900000095
19800222 000000 0
19800223 000000 0
19800224 000000 1
19800225 000000 0.300000012
19800226 000000 6.5
19800227 000000 0
19800228 000000 0
19800229 000000 0
19800301 000000 2.799999952
19800302 000000 3
19800303 000000 1
19800304 000000 13.60000038
19800305 000000 0
19800306 000000 0
19800307 000000 0
19800308 000000 2.5
19800309 000000 3.599999905
19800310 000000 0.600000024
19800311 000000 1
19800312 000000 7.900000095
19800313 000000 0.300000012
19800314 000000 0
19800315 000000 0
19800316 000000 0
19800317 000000 5.300000191
19800318 000000 3
19800319 000000 0.699999988
19800320 000000 1.299999952
19800321 000000 0
19800322 000000 0
19800323 000000 13.30000019
19800324 000000 0
19800325 000000 13.60000038
19800326 000000 12.60000038
19800327 000000 0
19800328 000000 0
19800329 000000 12.80000019
19800330 000000 0.800000012
19800331 000000 0.300000012
19800401 000000 0.800000012
19800402 000000 0
19800403 000000 0
19800404 000000 1.299999952
19800405 000000 2.299999952
19800406 000000 1.600000024
19800407 000000 0
19800408 000000 0
19800409 000000 0
19800410 000000 0
19800411 000000 0
19800412 000000 0
19800413 000000 0.400000006
19800414 000000 0.699999988
19800415 000000 0
19800416 000000 0
19800417 000000 0
19800418 000000 0
19800419 000000 0
19800420 000000 0
19800421 000000 0
19800422 000000 0
19800423 000000 0
19800424 000000 0
19800425 000000 0
19800426 000000 0
19800427 000000 0
19800428 000000 0
19800429 000000 5.714820278
19800430 000000 0.614711998
19800501 000000 0
19800502 000000 0
19800503 000000 0
19800504 000000 0
19800505 000000 0
19800506 000000 0
19800507 000000 0
19800508 000000 0
19800509 000000 0
19800510 000000 0
19800511 000000 0
19800512 000000 0
19800513 000000 0
19800514 000000 0
19800515 000000 2.530236159
19800516 000000 1.739823193
19800517 000000 0
19800518 000000 0
19800519 000000 0
19800520 000000 0
19800521 000000 0
19800522 000000 0
19800523 000000 0
19800524 000000 0
19800525 000000 0.5
19800526 000000 0
19800527 000000 0
19800528 000000 0
19800529 000000 0
19800530 000000 0
19800531 000000 0
19800601 000000 0
19800602 000000 0
19800603 000000 0
19800604 000000 0
19800605 000000 0
19800606 000000 0
19800607 000000 0
19800608 000000 0
19800609 000000 0
19800610 000000 0
19800611 000000 0
19800612 000000 0
19800613 000000 0
19800614 000000 0
19800615 000000 0
19800616 000000 0
19800617 000000 0
19800618 000000 0
19800619 000000 0
19800620 000000 0
19800621 000000 0
19800622 000000 0
19800623 000000 0
19800624 000000 0
19800625 000000 0
19800626 000000 0
19800627 000000 0
19800628 000000 0
19800629 000000 0
19800630 000000 0
19800701 000000 0
19800702 000000 0
19800703 000000 0
19800704 000000 0
19800705 000000 0
19800706 000000 0
19800707 000000 0
19800708 000000 0
19800709 000000 0
19800710 000000 0
19800711 000000 0
19800712 000000 0
19800713 000000 0
19800714 000000 0
19800715 000000 0
19800716 000000 0
19800717 000000 0
19800718 000000 0
19800719 000000 0
19800720 000000 0
19800721 000000 0
19800722 000000 0
19800723 000000 0
19800724 000000 0
19800725 000000 0
19800726 000000 0
19800727 000000 0
19800728 000000 0
19800729 000000 0
19800730 000000 0
19800731 000000 0
19800801 000000 0
19800802 000000 0
19800803 000000 0
19800804 000000 1.299999952
19800805 000000 0
19800806 000000 0
19800807 000000 0
19800808 000000 0
19800809 000000 1
19800810 000000 0
19800811 000000 6.5
19800812 000000 0
19800813 000000 0
19800814 000000 0
19800815 000000 0
19800816 000000 0
19800817 000000 0
19800818 000000 0
19800819 000000 0
19800820 000000 0
19800821 000000 0.200000003
19800822 000000 0.699999988
19800823 000000 1
19800824 000000 1
19800825 000000 2
19800826 000000 2.5
19800827 000000 1
19800828 000000 0
19800829 000000 0
19800830 000000 0.300000012
19800831 000000 4.599999905
19800901 000000 19.10000038
19800902 000000 0.200000003
19800903 000000 0
19800904 000000 0
19800905 000000 0
19800906 000000 0
19800907 000000 0
19800908 000000 0
19800909 000000 0
